year,co2_ppm,ch4_ppb,n20_ppb
1750,278.0,719.01,270.0
1755,278.0,719.97,270.3
1760,278.0,720.93,270.6
1765,278.0,723.71,270.9
1770,278.6,726.5,271.2
1775,279.3,730.53,271.5
1780,280.1,734.57,271.8
1785,280.8,739.29,272.1
1790,281.6,744.01,272.4
1795,282.3,747.4,272.7
1800,282.9,750.8,273.0
1805,283.4,755.45,273.24
1810,283.8,760.11,273.48
1815,284.0,764.92,273.72
1820,284.2,769.73,273.96
1825,284.3,774.54,274.2
1830,284.4,779.35,274.44
1835,283.8,784.21,274.68
1840,283.4,789.06,274.92
1845,283.9,795.24,275.16
1850,284.7,801.42,275.4
1855,285.4,808.5,275.9
1860,286.2,815.59,276.4
1865,286.9,823.38,276.9
1870,287.5,831.18,277.4
1875,288.7,839.33,277.8
1880,290.7,847.48,278.2
1885,293.0,857.35,278.7
1890,294.2,867.22,279.1
1895,294.8,878.76,279.5
1900,295.8,890.3,279.8
1905,297.6,912.07,280.3
1910,299.7,935.46,281.0
1915,301.4,961.48,281.8
1920,303.0,990.23,282.9
1925,305.0,1020.2,284.0
1930,307.2,1049.05,285.0
1935,309.4,1076.54,285.9
1940,310.4,1102.4,286.7
1945,310.1,1128.83,287.8
1950,310.7,1161.73,289.0
1955,313.0,1207.03,290.1
1960,316.9,1262.97,291.4
1965,320.0,1328.47,292.9
1970,325.0,1403.19,294.9
1975,331.3,1483.57,297.4
1978,334.6,1532.77,298.82
1979,336.74,1549.53,300.04
1980,338.7,1566.28,300.65
1981,339.74,1583.48,301.23
1982,340.92,1600.69,303.56
1983,342.47,1617.89,303.78
1984,344.13,1635.09,304.02
1985,345.47,1652.29,304.54
1986,346.89,1669.49,305.37
1987,348.46,1680.66,305.55
1988,350.93,1698.83,306.49
1989,352.57,1710.52,307.48
1990,353.72,1709.33,308.78
1991,355.15,1729.07,309.57
1992,355.9,1731.05,310.0
1993,356.63,1735.65,310.25
1994,358.2,1741.66,310.98
1995,360.23,1747.1,311.78
1996,362.01,1749.86,312.81
1997,363.17,1753.94,313.53
1998,365.69,1762.43,314.2
1999,367.81,1772.33,315.15
2000,368.92,1774.07,316.14
2001,370.38,1772.95,316.89
2002,372.49,1773.14,317.47
2003,375.08,1777.41,318.21
2004,376.61,1775.44,318.93
2005,378.97,1774.55,319.6
2006,381.17,1776.4,320.37
2007,382.89,1781.75,321.14
2008,384.98,1789.94,322.11
2009,386.42,1793.63,322.88
2010,388.71,1796.84,323.7
2011,390.57,1803.42,324.61
2012,392.64,1810.33,325.58
2013,395.49,1815.44,326.53
2014,397.45,1824.4,327.61
2015,399.58,1834.63,328.51
2016,402.87,1842.4,329.33
2017,405.19,1849.95,330.31
2018,407.58,,
